index,perplexity
120310683,0.03125
110564518,0.0
83382876,0.0625
140495969,0.0
82345713,0.03125
87774843,0.03125
18379610,0.0625
145144257,0.0
48821421,0.875
110823656,0.0
24492826,0.15625
11422534,0.0625
113095512,0.1875
61331149,0.0
81598633,0.0
128265342,0.09375
62424219,0.03125
130084786,0.09375
103089567,0.1875
117056274,0.09375
90171148,0.03125
132122346,0.0
29629258,0.0
110703029,0.0
98138917,0.125
131832287,0.09375
10717457,0.28125
74766879,0.28125
88839507,0.09375
19206268,0.0625
60393017,0.03125
131358777,0.03125
32294175,0.0
75890141,0.53125
56284577,0.0
146223086,0.03125
21872258,0.03125
97428845,0.0625
106082616,0.0
75012234,0.03125
24968695,0.03125
145244035,0.0
98426817,0.28125
63997417,0.40625
40034691,0.09375
19590,0.03125
15730162,0.5
101325815,0.03125
11106517,0.09375
63980335,0.0625
140281716,0.21875
62255469,0.03125
79258297,0.03125
99123487,0.03125
141488125,0.0
136454185,0.0625
70557846,0.15625
62542326,0.03125
52576890,0.03125
28729693,0.28125
129090792,0.0
53437424,0.0
87105358,0.0
134580545,0.03125
69913272,0.0
85520557,0.0625
81051072,0.03125
24548664,0.0625
126131224,0.125
19035224,0.0
113656458,0.125
83770620,0.0625
79628186,0.03125
88320546,0.03125
122912114,0.03125
140028834,0.21875
59785929,1.0
111661468,0.0625
123740305,0.0625
11018886,0.1875
146034090,0.03125
49973847,0.0625
122315152,0.125
142719486,0.0
53863918,0.0
144102576,0.0625
11833337,0.03125
128906737,0.0
69102636,0.03125
41634739,0.0
82400485,0.0625
43259800,0.0
23237211,0.0625
41555863,0.09375
4601594,0.0
76776942,0.0625
105764471,0.21875
116599980,0.0
141829128,0.03125
85756644,0.0
139092731,0.0
79498731,0.15625
1288313,0.03125
98876494,0.03125
19100443,0.25
89872009,0.0625
119868023,0.0
79537072,0.0
27871908,0.1875
120589860,0.09375
77504243,0.0625
22280854,0.1875
125698788,0.0625
11010435,0.15625
62072460,0.0
53662270,0.1875
137184420,0.375
101765667,0.0625
14086194,0.03125
129419925,0.0
103497175,0.0
38227289,0.375
68748660,0.0
36756694,0.0
22689688,0.15625
90704741,0.0625
44425165,0.0625
23875958,0.0
29846224,0.0
93787565,0.0
101945960,0.0625
43221412,0.0625
46143004,0.03125
81810943,0.09375
27633448,0.03125
129596492,0.0
11303840,0.03125
106867076,0.09375
124647270,0.03125
107012040,0.03125
40125743,0.375
138844566,0.09375
21271422,0.0
46326357,0.03125
27457532,0.0
10858822,0.0
62504566,0.0
51388899,0.0
70635764,0.15625
68378315,0.03125
85025842,0.03125
76038225,0.15625
18267296,0.0
14594887,0.03125
95635805,0.03125
48047816,0.0625
57511168,0.25
56245781,0.0625
23125186,0.0625
126364485,0.0
30934728,0.40625
35945240,0.0625
125451579,0.0625
143812887,0.0
15435719,0.0625
77852349,0.0
65172276,0.0
107660044,0.0625
112020413,0.0
28875713,0.03125
33318727,0.0
110043929,0.03125
86791240,0.03125
130864701,0.03125
98034318,0.0625
22909004,0.40625
38286881,0.03125
136243703,0.0
42407212,0.03125
93862936,0.21875
12687440,0.03125
56415985,0.0
8707253,0.0
23644792,0.09375
17338470,0.28125
98440820,0.03125
138788039,0.125
114785013,0.0625
19549356,0.0
129462724,0.0
14855653,0.03125
77577371,0.0
129662727,0.0
37439085,0.09375
98461351,0.1875
101221323,0.0
80042891,0.125
7097590,0.0625
50861028,0.0
23334125,0.03125
65542726,0.0
13459843,0.03125
16380983,0.03125
105473879,0.15625
35757183,0.0625
17566430,0.03125
48102474,0.09375
115839128,0.0625
140601165,0.03125
6540517,0.0
46959572,0.09375
121022942,0.0
141938728,0.0625
